"","as.yearmon(time(data.m))","FBCF","PIB","POUP","NFSP","TT","WP","ER","IR","IBOV","EMBI","LINF","LAGR","LIND","LCOM","LTOT","IIE","ICI","ICE","CURI","CIB"
"1",nov 2002,192248.82905076,1085089.06733945,152097.870164813,-3.30487484137355,93.09,80.9194191651387,158.26,9.30316415757684,10030.3,1688.14285714286,1180.21782276699,1037.32304106273,110.893485513231,210.399759746499,2639.00504326509,127.7,97.4,93.6,78.6,101.27
"2",dez 2002,189546.157761022,1080843.82035025,152088.824212138,-3.22579458396651,89.3,79.5226585804188,158.7,9.3308451079712,10840.5789473684,1518.14285714286,1226.68757411689,995.580782549391,790.644367579357,184.587391737851,3003.89325638639,125,99.9,93.8,79.6,104.56
"3",jan 2003,187014.949824947,1076930.63899347,160474.124358784,-3.23869499878127,91.75,80.6191032221515,149.36,9.25133222678429,11486.2272727273,1317.09090909091,427.580466331711,1528.96576516331,149.541164364233,231.227634719304,2469.47917148613,118.4,102.9,97,80.6,101.45
"4",fev 2003,186817.10364843,1075740.12591819,167760.933179198,-3.31997724692932,90.01,81.2967990345576,160.19,8.48511005610701,10350.05,1293.15,1274.24568245605,943.0222745525,187.384595956976,403.049551306851,2870.92046437215,112.4,99.9,96.9,80.3,109.05
"5",mar 2003,184421.055363702,1072293.57633611,169142.239582147,-3.33276555938472,92.49,81.6823523579826,152.85,8.36407308913099,10975.2332505092,1090.33333333333,699.225169163939,866.905984872926,241.959239946984,215.274086537481,2059.10785402286,108.8,97.2,96.8,80.1,100.18
"6",abr 2003,180081.342775598,1067906.99124953,165271.759860798,-3.53300826413685,92.16,81.3481802169384,138.14,8.17847049755929,12022.8008986252,899.095238095238,475.993617395796,807.825745303581,283.508515741439,216.402292102232,1763.44192449092,98.9,94.9,94.5,79.9,90.84
"7",mai 2003,177646.565144189,1069895.62176097,165223.785909516,-3.61973659373065,93.59,81.1997694181139,133.03,7.73626748549983,13091.4761904762,783.863636363636,700.912411553043,983.347126249336,354.336538336873,262.343997109057,2241.4436729643,113.6,90.9,88.3,79.2,87.33
"8",jun 2003,178367.992885289,1083723.5966688,169866.03605603,-3.4472551421325,94.43,81.3039385201928,130.28,8.16676674959251,13491,755,683.068061852711,1472.04430415433,409.114988807401,350.5289501476,3174.87691615269,103.6,86.3,84.2,78.3,83.96
"9",jul 2003,179796.956278446,1096439.89262694,176846.260173588,-3.39787001649395,94.83,81.8494639981623,129.2,8.60261630425365,13549.9090909091,781.391304347826,1355.31963068005,668.99763715329,549.128483599869,261.54968026684,3049.78508927292,111.4,82.3,81.3,77.6,85.02
"10",ago 2003,181102.705316553,1107644.1548643,183272.373420441,-3.54555157981072,93.57,81.8649223949465,132.84,7.32597549317804,14008.4285714286,780.285714285714,398.728320152169,592.874722343694,493.846701210681,218.794325768968,1552.67893218476,105.9,87.8,87.7,78.2,90.1
