"","FBCF","CIB","CURI","EMBI","ER","IBOV","ICE","ICI","IIE","IR","LAGR","LCOM","LIND","LINF","LTOT","NFSP","PIB","POUP","TT","WP"
"1",62806,60.11,79.5,973.030769230769,109.846666666667,13.517813559322,95.7666666666667,99.4333333333333,102.933333333333,10.4868681863231,50644.61,8384.68866666667,12744.3733333333,35808.5833333333,107582.233333333,-3.25,342297,53855,96.2566666666667,78.0829712518286
"2",65569,61.0766666666667,78.6333333333333,1022.10606060606,114.326666666667,12.541253968254,95,96.8,101.1,9.72140626449398,48444.1533333333,8357.284,11976.04,34168.7433333333,102946.233333333,-3.30666666666667,367363,57998,97.4033333333333,79.2290564444212
"3",67912,82.1366666666667,77.8,805.793650793651,143.846666666667,9.91798461538461,91.8333333333333,92.3,117.466666666667,9.60049550944564,41641.6666666667,8272.06666666667,12418.6966666667,34712.32,97044.76,-3.53333333333333,379795,68882,93.66,79.9522620508563
"4",70596,103.253333333333,78.6333333333333,1003.41538461538,162.663333333333,9.96320967741935,93.7333333333333,97.4666666666667,128.266666666667,9.62911632671506,35734.2052503333,8053.49268866667,12582.4426886667,27399.054367,83769.1973283333,-3.44,399333,48911,91.55,80.3210975582718
"5",70262,103.56,80.3333333333333,1867.77272727273,154.133333333333,10.9365737704918,96.9,100,113.2,8.69728155899567,41137.47,8582.14066666667,12667.6233333333,24030.2466666667,86417.4833333333,-3.31333333333333,397242,60078,91.4166666666667,81.1994182048972
"6",68696,87.3766666666667,79.1333333333333,1755.67692307692,133.816666666667,12.8929180327869,89,90.7,105.366666666667,8.02669861372582,45466.6,9055.627,14571.9,25958.8566666667,95052.99,-3.37,418987,66472,93.3933333333333,81.283962718415
"7",71785,88.26,78.2333333333333,1233.90476190476,130.553333333333,14.5592769230769,87.7666666666667,88.2,103.933333333333,7.01307719014004,44502.6233333333,8274.64766666667,15430.5466666667,30005.9966666667,98213.8066666667,-3.40333333333333,439350,82091,94.0433333333333,82.0944931216718
"8",74519,94.3833333333333,80.0333333333333,812.203125,130.953333333333,19.2440793650794,97.8,101.933333333333,96.1,6.12025127131317,42403.9133333333,7583.12333333333,16175.18,35677.8633333333,101840.093333333,-3.64333333333333,462372,73339,94.7633333333333,83.7754891903846
"9",76797,97.4033333333333,81.0333333333333,744.681818181818,134.723333333333,22.4394677419355,102.633333333333,105.933333333333,94.2333333333333,8.90443035998625,38640.8098666667,6668.6789,16237.5682333333,35348.7523,96895.8092666667,-3.61,444783,83291,94.1066666666667,85.0935632478251
"10",83337,109.326666666667,81,562.076923076923,140.59,20.2796129032258,106.9,107.8,96.7333333333333,9.81451638385946,38583.8239333333,6236.16333333333,14985.3009333333,35108.2658666667,94913.5540333333,-3.71666666666667,481795,97835,95.16,86.0538257596832
"11",90684,106.206666666667,81.5333333333333,513.109375,135.876666666667,22.237203125,111.566666666667,111.366666666667,93.3333333333333,8.42870061430041,44442.43,7368.113,13042.8133333333,34452.5333333333,99305.8933333333,-4.02666666666667,505252,103394,95.3933333333333,86.8496826120759
"12",88268,103.156666666667,82.5666666666667,662.984375,128.97,24.3359672131148,107.3,110.6,90.4,9.06745414982904,48217.13,8069.759,10261.9246666667,31287.1,97835.9133333333,-3.99333333333333,525920,84614,92.1933333333333,87.5935889355002
"13",85394,102.09,83.3,554.075757575758,123.123333333333,26.2560333333333,101.933333333333,104.966666666667,91.7666666666667,10.2469442203884,49745.3433333333,8419.14533333333,8869.66733333333,35321.0033333333,102355.133333333,-3.87333333333333,499710,89798,93.8833333333333,88.8833943364775
"14",92729,94.44,81.9,433.893939393939,112.75,25.250126984127,98.2,99.6333333333333,99.4333333333333,10.9125204861004,48123.8166666667,8343.139,8409.425,34838.1433333333,99714.5333333333,-3.36,535557,101919,94.7966666666667,89.6127879067335
"15",96634,90.0333333333333,80.3333333333333,416.857142857143,105.743333333333,27.3628153846154,95.5666666666667,95.5,98.1666666666667,12.694975363274,49881.925327,7960.92318933333,7669.38950166667,33485.8478753333,98998.0858936667,-3.31,552859,108622,95.44,90.1439866863115
"16",95462,94.9633333333333,80.3333333333333,437.692307692308,99.6633333333333,31.4024590163934,93.0333333333333,96.3,93.0333333333333,11.9678260596349,54419.3124933333,8109.04108333333,7447.38716,33923.1031333333,103898.85687,-3.27,582458,92768,95.83,91.4092876408872
"17",96723,97.73,81.5,395.151515151515,97.1366666666667,37.1699677419355,97.1,100.266666666667,91.5666666666667,11.1016333364926,61508.2994866667,10518.60414,7323.20082666667,34263.1748766667,113613.287333333,-3.24,554270,94899,97.3866666666667,92.5362539591528
"18",100733,98.0133333333333,81.1,343.893939393939,98.9333333333333,37.716,100.3,101.3,94.0666666666667,10.9239668893221,63461.95,11761.5866666667,7855.401,36475.86,119554.766666667,-3.46666666666667,581977,105900,97.47,93.5998871208151
"19",108368,97.1533333333333,81.8,250.276923076923,99.4866666666667,36.485578125,101.133333333333,100.833333333333,94.6333333333333,10.3688485120863,63796.6866666667,13091.32,9149.74766666667,39923.26,125961,-3.41666666666667,617848,127769,101.753333333333,94.479322221603
"20",108850,98.8166666666667,81.6333333333333,248.015625,98.5433333333333,40.9661186440678,99.5,102.866666666667,95.9666666666667,10.1383233145886,61918.89,16425.0033333333,9958.04866666667,47494.4666666667,135796.4,-3.28333333333333,655355,114966,103.39,95.5905485111072
"21",109267,98.8833333333333,82.7,228.584615384615,96.6133333333333,44.1515409836066,103.766666666667,106.8,93.4333333333333,9.65465902838463,54450.3233333333,16590.07,10465.58,53624.06,135130.033333333,-3.27333333333333,631423,119598,102.613333333333,96.9246106916637
"22",119167,93.9366666666667,83.1666666666667,215.030769230769,92.4033333333333,50.9828870967742,110.666666666667,111.466666666667,93.8666666666667,8.76819311324104,62776.5033333333,17735.27,10712.14,61398.8333333333,152622.733333333,-3.48333333333333,670655,133460,100.52,98.0637689256897
"23",129921,93.28,83.7,187.265625,90.3366666666667,54.7750317460317,113.566666666667,112.933333333333,93.6,7.14903707501522,61690.8,19686.5566666667,10885.66,66457.4166666667,158720.433333333,-3.61,691846,144824,101.54,99.2756000243184
"24",131177,93.19,84.6666666666667,149.671875,86.34,62.8465254237288,111.633333333333,114.366666666667,95.2,6.64066246762796,67728.3366666667,20632.2,10861.8833333333,69541.79,168764.2,-3.77666666666667,726339,128233,103.706666666667,100.652511262943
"25",132371,102.27,85.3666666666667,187.215384615385,85.9566666666667,61.1929166666667,109.733333333333,113.166666666667,98.2333333333333,6.25676967187001,76532.9658833333,22112.8441166667,10879.67955,68659.16615,178184.6457,-3.66666666666667,712055,131873,103.146666666667,101.920486547287
"26",147733,106.373333333333,84.8666666666667,197.984615384615,84.0666666666667,67.5015806451613,112.7,113.233333333333,93.1,5.81343943412909,73352.4623266667,22523.5248033333,10784.5966666667,69294.7484333333,175955.325563333,-2.73,769525,155988,103.79,101.510449578042
"27",168886,101.48,85.0666666666667,258.296875,83.0733333333333,55.2707538461539,113.7,113.266666666667,93.8666666666667,6.23608017817372,101468.336666667,24521.4066666667,11388.9566666667,76712.2633333333,214090.966666667,-2.08666666666667,812603,169873,109.38,100.038468216899
