Data,Termos de troca - índice (média 2006 = 100) - - - Fundação Centro de Estudos do Comércio Exterior (Funcex) - FUNCEX12_TTR12,
1978.01,121.09,
1978.02,115.94,
1978.03,114.8,
1978.04,113.19,
1978.05,110.56,
1978.06,100.46,
1978.07,109.45,
1978.08,111.21,
1978.09,108.03,
1978.10,107.65,
1978.11,107.62,
1978.12,105.28,
1979.01,108.72,
1979.02,107.82,
1979.03,108.94,
1979.04,106.36,
1979.05,103.06,
1979.06,103.64,
1979.07,102.29,
1979.08,99.25,
1979.09,97.28,
1979.10,97.89,
1979.11,96.03,
1979.12,89.71,
1980.01,89.94,
1980.02,84.88,
1980.03,80.35,
1980.04,85.45,
1980.05,82.31,
1980.06,80.83,
1980.07,79.16,
1980.08,81.51,
1980.09,79.8,
1980.10,81.94,
1980.11,79.56,
1980.12,78.56,
1981.01,79.13,
1981.02,74.26,
1981.03,76.22,
1981.04,74.46,
1981.05,73.13,
1981.06,72.8,
1981.07,71.62,
1981.08,71.99,
1981.09,70.86,
1981.10,64.67,
1981.11,69.03,
1981.12,69.11,
1982.01,70.96,
1982.02,69.71,
1982.03,71.07,
1982.04,71.14,
1982.05,72.45,
1982.06,73.63,
1982.07,72,
1982.08,70.32,
1982.09,69.23,
1982.10,65.07,
1982.11,68.55,
1982.12,68.95,
1983.01,68.82,
1983.02,69.43,
1983.03,65.45,
1983.04,66.29,
1983.05,68.21,
1983.06,69.46,
1983.07,72.17,
1983.08,72.81,
1983.09,70.04,
1983.10,72.06,
1983.11,71.49,
1983.12,67.96,
1984.01,72.44,
1984.02,75.14,
1984.03,73.75,
1984.04,72.41,
1984.05,73.48,
1984.06,75.14,
1984.07,75.97,
1984.08,74.84,
1984.09,75.4,
1984.10,70.84,
1984.11,71.39,
1984.12,73.2,
1985.01,73.09,
1985.02,75.42,
1985.03,73.68,
1985.04,72.6,
1985.05,69.62,
1985.06,69.14,
1985.07,67.35,
1985.08,67.74,
1985.09,69.51,
1985.10,69.14,
1985.11,69.42,
1985.12,71.03,
1986.01,80.9,
1986.02,87.75,
1986.03,91.99,
1986.04,91.41,
1986.05,97.85,
1986.06,97.37,
1986.07,70.47,
1986.08,71.65,
1986.09,97.22,
1986.10,97.03,
1986.11,98.68,
1986.12,94.96,
1987.01,87.47,
1987.02,81.42,
1987.03,76.3,
1987.04,75.82,
1987.05,78.19,
1987.06,78.12,
1987.07,81.69,
1987.08,82.77,
1987.09,84.35,
1987.10,79.86,
1987.11,77.78,
1987.12,76.58,
1988.01,78.4,
1988.02,78.53,
1988.03,82.72,
1988.04,86.46,
1988.05,85.58,
1988.06,84.7,
1988.07,87.52,
1988.08,91.38,
1988.09,90.55,
1988.10,91.26,
1988.11,92.5,
1988.12,86.97,
1989.01,87.84,
1989.02,86.27,
1989.03,83.5,
1989.04,83.11,
1989.05,79.82,
1989.06,82.35,
1989.07,81.91,
1989.08,83.06,
1989.09,81.06,
1989.10,80.04,
1989.11,78.43,
1989.12,81.18,
1990.01,74.03,
1990.02,73.42,
1990.03,75.65,
1990.04,76.86,
1990.05,79.21,
1990.06,77.02,
1990.07,80.23,
1990.08,76.33,
1990.09,71.73,
1990.10,68.75,
1990.11,68.18,
1990.12,72.57,
1991.01,72.53,
1991.02,71.84,
1991.03,78.51,
1991.04,79.92,
1991.05,79.98,
1991.06,79.18,
1991.07,82.93,
1991.08,84.6,
1991.09,82.34,
1991.10,81.28,
1991.11,77.77,
1991.12,75.48,
1992.01,80.41,
1992.02,80.63,
1992.03,80.86,
1992.04,83.23,
1992.05,81.52,
1992.06,77.53,
1992.07,77.9,
1992.08,82.66,
1992.09,80.13,
1992.10,80.93,
1992.11,81.15,
1992.12,78.03,
1993.01,76.42,
1993.02,76.32,
1993.03,75.57,
1993.04,79.87,
1993.05,74.8,
1993.06,78.11,
1993.07,81.72,
1993.08,84.88,
1993.09,87.87,
1993.10,84.9,
1993.11,84.57,
1993.12,90.84,
1994.01,89.33,
1994.02,91.69,
1994.03,89.31,
1994.04,89.36,
1994.05,88.21,
1994.06,91.12,
1994.07,89.02,
1994.08,91.02,
1994.09,94.25,
1994.10,99.15,
1994.11,102.15,
1994.12,100.01,
1995.01,100.93,
1995.02,106.42,
1995.03,102.91,
1995.04,100.35,
1995.05,99.99,
1995.06,104.69,
1995.07,102.7,
1995.08,104.76,
1995.09,104.58,
1995.10,103.93,
1995.11,104.65,
1995.12,102.3,
1996.01,101.55,
1996.02,99.67,
1996.03,101.44,
1996.04,102.36,
1996.05,102.36,
1996.06,102.36,
1996.07,106.03,
1996.08,104.01,
1996.09,102.24,
1996.10,102.87,
1996.11,105.31,
1996.12,103.18,
1997.01,104.49,
1997.02,103.97,
1997.03,107.95,
1997.04,107.31,
1997.05,113.14,
1997.06,110.32,
1997.07,111.55,
1997.08,111.18,
1997.09,112.01,
1997.10,108.99,
1997.11,110.16,
1997.12,108.01,
1998.01,110.94,
1998.02,110.27,
1998.03,110.85,
1998.04,109.56,
1998.05,107.71,
1998.06,108.58,
1998.07,107.85,
1998.08,106.84,
1998.09,107.22,
1998.10,103.34,
1998.11,102.75,
1998.12,102.6,
1999.01,100.21,
1999.02,95.08,
1999.03,95.47,
1999.04,92.58,
1999.05,91.26,
1999.06,92.74,
1999.07,92.83,
1999.08,90.66,
1999.09,91.48,
1999.10,91.5,
1999.11,92.7,
1999.12,91.96,
2000.01,91.03,
2000.02,97.02,
2000.03,96.46,
2000.04,95.27,
2000.05,98.26,
2000.06,95.83,
2000.07,97.2,
2000.08,100.81,
2000.09,97.96,
2000.10,93.18,
2000.11,95.2,
2000.12,95.99,
2001.01,97.1,
2001.02,97.31,
2001.03,100.04,
2001.04,96.5,
2001.05,96.14,
2001.06,94.81,
2001.07,96.09,
2001.08,96.74,
2001.09,94.1,
2001.10,92.54,
2001.11,96.43,
2001.12,94.38,
2002.01,94.77,
2002.02,96.9,
2002.03,97.1,
2002.04,97.15,
2002.05,96.47,
2002.06,98.59,
2002.07,95.61,
2002.08,92.62,
2002.09,92.75,
2002.10,92.26,
2002.11,93.09,
2002.12,89.3,
2003.01,91.75,
2003.02,90.01,
2003.03,92.49,
2003.04,92.16,
2003.05,93.59,
2003.06,94.43,
2003.07,94.83,
2003.08,93.57,
2003.09,93.73,
2003.10,95.76,
2003.11,93.9,
2003.12,94.63,
2004.01,95.38,
2004.02,92.82,
2004.03,94.12,
2004.04,95.32,
2004.05,96.96,
2004.06,93.2,
2004.07,97.68,
2004.08,94.02,
2004.09,94.48,
2004.10,90.46,
2004.11,93.44,
2004.12,92.68,
2005.01,94.14,
2005.02,93.72,
2005.03,93.79,
2005.04,93.98,
2005.05,95.86,
2005.06,94.55,
2005.07,96.77,
2005.08,94.54,
2005.09,95.01,
2005.10,94.16,
2005.11,95.84,
2005.12,97.49,
2006.01,96.99,
2006.02,98.72,
2006.03,96.45,
2006.04,96.99,
